subyekt,nomer regiona,y1,y2,y3,y4,y5,y,god,x1
Orenburgskaya oblast,54,32.52,1.9,1.2,38.8,25.6,14104.94,2019,3.05
Penzenskaya oblast,55,33.9,1.6,1.9,35.5,27.1,13757.25,2019,3.05
Samarskaya oblast,56,29.48,2.7,2.1,40.1,25.7,18136.55,2019,3.05
Saratovskaya oblast,57,40.75,3.2,1.7,28.5,25.9,13500.73,2019,3.05
Ulyanovskaya oblast,58,37,0.7,1,31.6,29.6,13156.21,2019,3.05
Kurganskaya oblast,59,31.4,1.9,1.7,43.8,21.1,13751.28,2019,3.05
Sverdlovskaya oblast,60,30.23,4.7,1.7,32.6,30.8,17812.2,2019,3.05
Tyumenskaya oblast,61,28.17,1.6,1.5,40.6,28.1,20707.78,2019,3.05
Khanty-Mansiyskiy ,62,24.32,1.2,1.6,42.2,30.7,23298.5,2019,3.05
Yamalo-Nenetskiy ,63,24.98,1.7,2.2,43.6,27.5,29639.17,2019,3.05
Chelyabinskaya oblast,64,29.9,3.2,2,34.7,30.2,15595.49,2019,3.05
Respublika Altay,65,29.7,1.7,1.4,42.4,24.7,11899.58,2019,3.05
Respublika Tyva,67,30.82,2.5,1,41.8,23.9,10510.58,2019,3.05
Respublika Khakasiya,68,31.57,2.1,1.8,41.8,22.7,14757.65,2019,3.05
Altayskiy kray,69,33.96,2.1,1.6,37.9,24.4,13203.15,2019,3.05
Krasnoyarskiy kray,71,27.37,2.6,1.8,39.2,29.1,19869.81,2019,3.05
Irkutskaya oblast,72,29.59,1.5,1.2,43.7,24,16587.24,2019,3.05
Kemerovskaya oblast,73,31.82,1.2,1.4,39.7,25.9,14205.94,2019,3.05
Novosibirskaya oblast,74,38.28,3.3,3.3,35.5,19.6,14393.65,2019,3.05
Omskaya oblast,75,32.91,2.1,1.7,36.4,26.9,15120.01,2019,3.05
Tomskaya oblast,76,29.13,3.6,1.7,36.4,29.1,17333.79,2019,3.05
Respublika Buryatiya,66,28.93,2.4,0.8,42.3,25.5,12439.86,2019,3.05
Respublika Sakha (Yakutiya),77,29.16,2.9,1.3,37.4,29.2,24253.49,2019,3.05
Zabaykalskiy kray,70,34.28,2,2.1,37.9,23.7,14859.94,2019,3.05
Kamchatskiy kray,78,24.74,0.9,1.8,43.2,29.4,30733.9,2019,3.05
Primorskiy kray,79,30.82,4.4,1.8,36.7,26.4,21187.88,2019,3.05
Khabarovskiy kray,80,25.79,2.7,1.7,39.3,30.5,23193.61,2019,3.05
Amurskaya oblast,81,27.8,0.9,1.5,39.8,30,16286.39,2019,3.05
Magadanskaya oblast,82,29.44,3.1,1,31.5,34.9,30907.18,2019,3.05
Sakhalinskaya oblast,83,31.79,1.6,1.5,38.7,26.4,24675.18,2019,3.05
Evreyskaya avtonomnaya oblast,84,29.25,1.3,2.4,43.2,23.8,16118.7,2019,3.05
Chukotskiy avtonomnyy okrug,85,41.24,0.1,2.5,28,28.2,21392.16,2019,3.05
Belgorodskaya oblast,1,33.65,1.5,1.4,43,20.4,18425.7,2020,4.91
Bryanskaya oblast,2,38.48,2.1,1.5,38.3,19.7,14284.17,2020,4.91
Vladimirskaya oblast,3,40.15,0.9,1.2,33.5,24.3,14812.64,2020,4.91
Voronezhskaya oblast,4,37.7,0.5,1.1,35,25.6,14323.19,2020,4.91
Ivanovskaya oblast,5,33.4,1.3,2.9,39.7,22.7,17679.64,2020,4.91
Kaluzhskaya oblast,6,35.03,1.2,1.7,39.8,22.4,18031.17,2020,4.91
Kostromskaya oblast,7,35.57,1.4,1.8,40.4,20.8,16342.54,2020,4.91
Kurskaya oblast,8,35.86,1.3,1.4,41.2,20.3,15463.43,2020,4.91
Lipetskaya oblast,9,36.4,1.1,1.4,37.9,23.2,15732.06,2020,4.91
Moskovskaya oblast,10,28.71,1.9,1.5,41.6,26.3,23852.33,2020,4.91
Orlovskaya oblast,11,30.82,1.2,0.9,47.1,20,15603.58,2020,4.91
Ryazanskaya oblast,12,38.26,0.9,1,40.4,19.5,14319.11,2020,4.91
Smolenskaya oblast,13,49.05,0.2,0.5,28.6,21.6,14561.2,2020,4.91
Tambovskaya oblast,14,33.74,1.9,0.5,41,22.9,13111.76,2020,4.91
Tverskaya oblast,15,40.38,0.6,1.8,33.9,23.3,15348.37,2020,4.91
Tulskaya oblast,16,38.19,0.3,1.4,36.7,23.3,17223.52,2020,4.91
Yaroslavskaya oblast,17,35.01,2.1,1.5,30.7,30.7,15067.07,2020,4.91
g. Moskva,18,31.17,3.1,2.8,28.8,34.1,32020.25,2020,4.91
Respublika Kareliya,19,32,0.6,2.4,44.5,20.6,19914.27,2020,4.91
Respublika Komi,20,32.77,1.4,2,36.7,27.1,18398.28,2020,4.91
Arkhangelskaya oblast,21,27.49,1.2,1.3,48.4,21.6,22629.71,2020,4.91
Nenetskiy avtonomnyy okrug,22,31.54,0,1.7,38.6,28.1,23806.46,2020,4.91
Vologodskaya oblast,23,35.52,1.7,1.8,38.9,22.1,19010.39,2020,4.91
Kaliningradskaya oblast,24,38.48,1.9,1.8,38.4,19.3,16207.58,2020,4.91
Leningradskaya oblast,25,35.35,2.5,1.8,37.2,23.2,20260.12,2020,4.91
Murmanskaya oblast,26,26,2,2.3,41,28.7,28103.84,2020,4.91
Novgorodskaya oblast,27,32.23,1.1,1.1,39.2,26.2,16373.69,2020,4.91
Pskovskaya oblast,28,36.95,0.9,2,37.2,23,13853.8,2020,4.91
g. Sankt-Peterburg,29,29.77,4.3,2,36.1,27.8,27061.74,2020,4.91
Respublika Adygeya,30,36.35,1.4,0.9,39.4,21.9,16073.16,2020,4.91
Respublika Kalmykiya,31,37.64,0.5,0.9,43.2,17.7,13475.3,2020,4.91
Respublika Krym,36,45.91,1.3,0.9,30.2,21.7,12431.12,2020,4.91
Krasnodarskiy kray,32,36.59,2.6,1.7,35.3,23.9,16941.54,2020,4.91
Astrakhanskaya oblast,33,36.96,1.5,1.7,37,22.8,17478.4,2020,4.91
Volgogradskaya oblast,34,36.82,0.8,1.2,39,22.2,15887.71,2020,4.91
Rostovskaya oblast,35,32.56,4.8,2.3,32.4,28,16653.86,2020,4.91
g. Sevastopol,37,44.9,1,2.4,32.4,19.3,20115.43,2020,4.91
Respublika Dagestan,38,55.01,0.1,0.6,30.8,13.5,12801.72,2020,4.91
Respublika Ingushetiya,39,53.54,4.3,0.2,30.4,11.5,12269.02,2020,4.91
Kabardino-Balkarskaya,40,45.04,0.6,0.4,34,19.9,10157.54,2020,4.91
Karachaevo-Cherkesskaya,41,30,1,0.3,43.9,24.8,12938.25,2020,4.91
Respublika Severnaya,42,42.03,1.2,0.6,35.7,20.4,12540.11,2020,4.91
Chechenskaya Respublika,43,40.04,0.8,0,42.5,16.7,10506.49,2020,4.91
Stavropolskiy kray,44,30.98,1.5,1.4,39.6,26.5,14612.87,2020,4.91
Respublika Bashkortostan,45,32.65,1.9,1.7,39.8,24,17023.97,2020,4.91
Respublika Mariy El,46,37.38,1.3,1.6,35,24.7,10962.66,2020,4.91
Respublika Mordoviya,47,41.75,1,1.6,34.5,21.2,12675.77,2020,4.91
Respublika Tatarstan,48,25.02,3.2,1.6,46.5,23.7,17497.81,2020,4.91
Udmurtskaya Respublika,49,29.99,2.7,2.1,40.1,25,15603.88,2020,4.91
Chuvashskaya Respublika,50,35.55,2.4,1.2,35.7,25.2,11085.04,2020,4.91
Permskiy kray,51,31.89,2.5,2.2,38.2,25.2,16466.68,2020,4.91
Kirovskaya oblast,52,33.53,1.7,1.8,40.1,22.8,15890.97,2020,4.91
Nizhegorodskaya oblast,53,36.52,2.9,1.6,31.5,27.5,16283.22,2020,4.91
Orenburgskaya oblast,54,35.11,1.6,1.3,39.9,22.1,14721.9,2020,4.91
Penzenskaya oblast,55,34.96,0.7,1.7,37.4,25.2,13922.42,2020,4.91
Samarskaya oblast,56,33.42,2.3,2.1,38.9,23.2,17439.78,2020,4.91
Saratovskaya oblast,57,40.71,1.4,1.4,32.8,23.8,13393.26,2020,4.91
Ulyanovskaya oblast,58,36.52,0.5,1,36.3,25.7,14034.22,2020,4.91
Kurganskaya oblast,59,37.69,1.2,1.8,40.3,19.1,14075.21,2020,4.91
Sverdlovskaya oblast,60,31.51,2.2,1.5,36.6,28.1,18416.36,2020,4.91
Tyumenskaya oblast,61,28.13,0.7,1.3,44.8,25,22372.55,2020,4.91
Khanty-Mansiyskiy ,62,22.33,0.3,1.2,50.4,25.7,26034.55,2020,4.91
Yamalo-Nenetskiy ,63,29.17,0.7,3,39,28.1,27662.41,2020,4.91
Chelyabinskaya oblast,64,32.85,1.8,2.1,37.9,25.4,15892.81,2020,4.91
Respublika Altay,65,29.44,0.9,1.3,45.8,22.5,12306.39,2020,4.91
Respublika Tyva,67,30.07,1.1,0.6,45.9,22.3,11461.65,2020,4.91
Respublika Khakasiya,68,31.67,0.9,1.7,46,19.8,17180.09,2020,4.91
Altayskiy kray,69,34.39,1.1,1.7,40,22.8,12892.87,2020,4.91
Krasnoyarskiy kray,71,30.22,2.4,1.7,37.9,27.7,19331.48,2020,4.91
Irkutskaya oblast,72,34.53,0.8,1.4,41.9,21.4,16671.23,2020,4.91
Kemerovskaya oblast,73,31.06,0.7,1.4,43,23.9,15512.11,2020,4.91
Novosibirskaya oblast,74,33.06,1,2.8,44.4,18.7,15357.68,2020,4.91
Omskaya oblast,75,37.71,2.2,1.3,34.6,24.2,15067.18,2020,4.91
Tomskaya oblast,76,28.36,1.8,1.9,43.8,24.2,18114.7,2020,4.91
Respublika Buryatiya,66,36.48,1,1.4,40.5,20.6,13833.59,2020,4.91
Respublika Sakha (Yakutiya),77,32.7,2.2,1.3,38.5,25.4,22988.66,2020,4.91
Zabaykalskiy kray,70,36.62,2.7,2,36.9,21.8,16073.1,2020,4.91
Kamchatskiy kray,78,29.39,0.6,1.8,43.4,24.8,30573.97,2020,4.91
Primorskiy kray,79,30.77,3.3,2,36,27.9,21496.46,2020,4.91
Khabarovskiy kray,80,28.84,2,2.1,39.6,27.6,23196.35,2020,4.91
Amurskaya oblast,81,27.87,0.2,1.3,44,26.7,17631.29,2020,4.91
Magadanskaya oblast,82,33.29,2.1,1.4,32.7,30.6,29810.85,2020,4.91
Sakhalinskaya oblast,83,34.38,0.5,1.2,42.1,21.8,27382.62,2020,4.91
Evreyskaya avtonomnaya oblast,84,29.39,1,2.7,45.1,21.8,18072.52,2020,4.91
Chukotskiy avtonomnyy okrug,85,41.21,0,2.7,29.2,26.8,22417.51,2020,4.91
Belgorodskaya oblast,1,31.91,2,1.3,43.4,21.5,20285.88,2021,8.39
Bryanskaya oblast,2,39.62,1.1,1.5,34.8,23,15228.14,2021,8.39
Vladimirskaya oblast,3,35.86,1.9,1.3,36,24.9,17783.49,2021,8.39
Voronezhskaya oblast,4,36.7,0.9,1.1,34.6,26.8,15311.51,2021,8.39
Ivanovskaya oblast,5,32.87,1.1,2.2,39.7,24.1,19094.64,2021,8.39
Kaluzhskaya oblast,6,30.82,0.9,2.4,44.4,21.6,22705.44,2021,8.39
Kostromskaya oblast,7,33.02,1.3,1.6,42.4,21.6,19254.14,2021,8.39
Kurskaya oblast,8,33.58,2.7,1.4,42.6,19.7,19097.5,2021,8.39
Lipetskaya oblast,9,35.79,1.8,1.4,37.1,23.8,17820.6,2021,8.39
Moskovskaya oblast,10,29.9,4.2,1.3,31.3,33.4,23035.49,2021,8.39
Orlovskaya oblast,11,30.59,1.8,1.2,41.5,24.9,16739.61,2021,8.39
Ryazanskaya oblast,12,40.74,1,1,30.5,26.8,14027.64,2021,8.39
Smolenskaya oblast,13,44.2,0.3,0.7,29.7,25.1,15498.03,2021,8.39
Tambovskaya oblast,14,32.54,1.4,0.6,37.2,28.3,14517.61,2021,8.39
Tverskaya oblast,15,38.92,1.3,1.8,35.7,22.3,17567.6,2021,8.39
Tulskaya oblast,16,39.16,0.5,1.3,32,26.9,17138.81,2021,8.39
Yaroslavskaya oblast,17,32.7,3.2,1.7,32.3,30.2,17503.73,2021,8.39
g. Moskva,18,28.31,2.9,1.7,30.8,36.3,37054.09,2021,8.39
Respublika Kareliya,19,34.39,1.9,2.7,32.4,28.6,18448.52,2021,8.39
Respublika Komi,20,31.45,1,1.8,39,26.7,21492.03,2021,8.39
Arkhangelskaya oblast,21,30.74,1.7,1.5,37,29.1,22207.94,2021,8.39
Nenetskiy avtonomnyy okrug,22,26.51,0,1.3,44.2,28,27255.98,2021,8.39
Vologodskaya oblast,23,36.27,2.5,1.4,34,25.8,19483.03,2021,8.39
Kaliningradskaya oblast,24,37.51,2.6,1.9,36.6,21.4,18041.29,2021,8.39
Leningradskaya oblast,25,36.07,4.1,1.8,33,25,21257.24,2021,8.39
Murmanskaya oblast,26,24.56,2.2,2.1,43.2,28,31624.31,2021,8.39
Novgorodskaya oblast,27,32.42,2.7,1.3,38.4,25.2,17556.94,2021,8.39
Pskovskaya oblast,28,39.5,1.3,2.3,32.3,24.5,14403.95,2021,8.39
g. Sankt-Peterburg,29,29.33,4.1,1.5,35.6,29.5,29291.7,2021,8.39
Respublika Adygeya,30,35.29,1.3,0.6,39.3,23.4,18323.19,2021,8.39
Respublika Kalmykiya,31,40.55,0.5,0.8,35,23.2,13060.9,2021,8.39
Respublika Krym,32,44.82,2.2,0.9,29.7,22.3,14493.65,2021,8.39
Krasnodarskiy kray,33,34.82,2.6,1.8,36.8,23.9,18514.2,2021,8.39
Astrakhanskaya oblast,34,38.21,2.2,1.7,35,22.9,18871.45,2021,8.39
Volgogradskaya oblast,35,36.45,1.5,1.2,36.3,24.6,17101.17,2021,8.39
Rostovskaya oblast,36,31.56,4,1.8,32.3,30.3,17956.27,2021,8.39
g. Sevastopol,37,47.11,1.7,1.9,30.2,19.1,21047.22,2021,8.39
Respublika Dagestan,38,54.8,2.4,0.5,29.1,13.2,15000.22,2021,8.39
Respublika Ingushetiya,39,46.83,4.3,0.1,35.8,12.9,12486.46,2021,8.39
Kabardino-Balkarskaya,40,43.97,0.3,0.4,33.9,21.5,10656.69,2021,8.39
Karachaevo-Cherkesskaya,41,29.7,5.5,0.2,39.8,24.8,14670.01,2021,8.39
Respublika Severnaya,42,41.33,0.5,0.5,36.4,21.3,13667.1,2021,8.39
Chechenskaya Respublika,43,39.18,3.8,0,38.6,18.4,12316.18,2021,8.39
Stavropolskiy kray,44,33.04,1.2,1.6,35.5,28.6,15947.84,2021,8.39
Respublika Bashkortostan,45,29.95,3,1.5,41,24.5,19884.36,2021,8.39
Respublika Mariy El,46,35.64,1.2,1.2,36.5,25.5,13327.03,2021,8.39
Respublika Mordoviya,47,41.43,1.1,1.6,32.7,23.1,14087.31,2021,8.39
Respublika Tatarstan,48,27.11,3.3,1.6,40.5,27.4,17922.67,2021,8.39
Udmurtskaya Respublika,49,29.4,2.4,1.8,41.7,24.7,18662.53,2021,8.39
Chuvashskaya Respublika,50,38.07,2.6,1.7,31,26.7,11459.26,2021,8.39
Permskiy kray,51,30.74,2.4,1.9,38.6,26.4,18665.08,2021,8.39
Kirovskaya oblast,52,31.69,2.1,1.8,39.8,24.7,17900.2,2021,8.39
Nizhegorodskaya oblast,53,29.62,2.3,1.4,42.6,24.2,21834.23,2021,8.39
Orenburgskaya oblast,54,34.61,1.7,1.2,39.6,23,15715.19,2021,8.39
Penzenskaya oblast,55,33.83,2.2,1.8,34.4,27.8,14898.84,2021,8.39
Samarskaya oblast,56,30.36,2.6,1.7,40,25.3,19557.75,2021,8.39
Saratovskaya oblast,57,38.07,2.2,1,35.1,23.6,15638.88,2021,8.39
Ulyanovskaya oblast,58,38.32,1,1.1,30.5,29.1,15030.25,2021,8.39
Kurganskaya oblast,59,36.39,1.1,1.7,41.7,19.1,15827.82,2021,8.39
Sverdlovskaya oblast,60,31.1,2.3,1.5,37.1,28,20085.16,2021,8.39
Tyumenskaya oblast,61,29.69,1.1,1.5,42.1,25.6,25165.16,2021,8.39
Khanty-Mansiyskiy ,62,24.87,1.1,1.7,43.6,28.7,26441.04,2021,8.39
Yamalo-Nenetskiy ,63,27.11,1,1.6,43.6,26.6,38503.06,2021,8.39
Chelyabinskaya oblast,64,29.33,2.3,1.8,39.2,27.4,18680.72,2021,8.39
Respublika Altay,65,30.84,0.8,1.2,45.3,21.9,13455.87,2021,8.39
Respublika Tyva,67,24.43,1.9,0.6,51.3,21.8,14448.4,2021,8.39
Respublika Khakasiya,68,32.46,1,1.5,42.7,22.3,17657.13,2021,8.39
Altayskiy kray,69,32.86,0.7,1.2,43.4,21.9,14472.93,2021,8.39
Krasnoyarskiy kray,71,27.19,2.8,1.7,39.8,28.5,23264.01,2021,8.39
Irkutskaya oblast,72,33.88,0.8,1.3,40.2,23.8,18594.55,2021,8.39
Kemerovskaya oblast,73,32.12,0.7,1.4,38.2,27.6,15688.76,2021,8.39
Novosibirskaya oblast,74,34.57,1.6,2.5,40.2,21.2,16307.79,2021,8.39
Omskaya oblast,75,35.63,2.5,1.8,31.8,28.3,15547.78,2021,8.39
Tomskaya oblast,76,30.29,2.6,1.5,35.6,30,17399.87,2021,8.39
Respublika Buryatiya,66,33.91,1.6,0.7,40.6,23.1,14098.87,2021,8.39
Respublika Sakha (Yakutiya),77,32.25,2.6,1,36.3,27.8,23809.99,2021,8.39
Zabaykalskiy kray,70,35.59,1.4,1.6,36.5,24.9,18285.04,2021,8.39
Kamchatskiy kray,78,30.05,2.4,1.8,36.4,29.3,30395.77,2021,8.39
Primorskiy kray,79,28.49,3.3,1.4,37,29.9,24628.8,2021,8.39
Khabarovskiy kray,80,27.8,1.4,1.5,38.3,31,24754.03,2021,8.39
Amurskaya oblast,81,27.61,0.3,1.4,43.3,27.4,18979.81,2021,8.39
Magadanskaya oblast,82,28.2,1.9,1,34.4,34.5,34695.75,2021,8.39
Sakhalinskaya oblast,83,33.23,0.6,1.2,38.8,26.2,26732.61,2021,8.39
Evreyskaya avtonomnaya oblast,84,30.78,1.3,2.7,41.6,23.6,19175.15,2021,8.39
Chukotskiy avtonomnyy okrug,85,38.62,0.1,4.2,29.7,27.4,26277.37,2021,8.39
Belgorodskaya oblast,1,36.13,2.2,1.4,35.3,25,19334.73,2022,10.39
Bryanskaya oblast,2,38.67,1.6,1.1,36.8,21.8,15463.53,2022,10.39
Vladimirskaya oblast,3,34.56,1.2,1.6,35,27.7,17915.47,2022,10.39
Voronezhskaya oblast,4,37.77,0.2,1,35.5,25.4,15522.29,2022,10.39
Ivanovskaya oblast,5,30.98,1.4,2.1,44.2,21.3,21243.63,2022,10.39
Kaluzhskaya oblast,6,32.57,0.5,1.7,40.1,25.1,20525.93,2022,10.39
Kostromskaya oblast,7,37.19,2.1,2,35.8,23,18465.02,2022,10.39
Kurskaya oblast,8,31.79,1.2,1.1,48.1,17.8,20875.09,2022,10.39
Lipetskaya oblast,9,37.26,1.2,1.1,32.5,27.9,18064.74,2022,10.39
Moskovskaya oblast,10,30.39,4.5,1,29.9,34.2,23978.98,2022,10.39
Orlovskaya oblast,11,33.38,1.1,1,37.8,26.6,16393.14,2022,10.39
Ryazanskaya oblast,12,43.48,0.9,1.5,27.8,26.3,14139.65,2022,10.39
Smolenskaya oblast,13,46.8,0.3,0.8,25.7,26.4,15408.85,2022,10.39
Tambovskaya oblast,14,35.7,0.6,0.7,34,29,14121.22,2022,10.39
Tverskaya oblast,15,39.71,1.9,2.2,32.8,23.5,17434.93,2022,10.39
Tulskaya oblast,16,38.64,0.6,1.2,33.7,25.9,17691.55,2022,10.39
Yaroslavskaya oblast,17,34.7,2.1,1.8,31.4,30.1,17300.94,2022,10.39
g. Moskva,18,18.05,3.3,1.4,52.2,25.1,55284.03,2022,10.39
Respublika Kareliya,19,38.2,1.4,2.1,31.5,26.8,18224.95,2022,10.39
Respublika Komi,20,34.33,1.2,1.8,32.9,29.8,19813.73,2022,10.39
Arkhangelskaya oblast,21,27.05,1.6,1.2,38.7,31.5,27654.26,2022,10.39
   v tom chisle:                   Nenetskiy avtonomnyy okrug,22,32.41,0,3.8,31.3,32.5,19295.65,2022,10.39
Vologodskaya oblast,23,35.93,1.8,1.4,32.9,28,20894.18,2022,10.39
Kaliningradskaya oblast,24,38.71,0.5,1.5,37.2,22.1,18129.82,2022,10.39
Leningradskaya oblast,25,37.74,3,1.7,32.9,24.7,20765.67,2022,10.39
Murmanskaya oblast,26,29.28,3.1,2,34.7,30.8,30722.11,2022,10.39
Novgorodskaya oblast,27,35.09,1.5,1.2,36.6,25.6,17791.53,2022,10.39
Pskovskaya oblast,28,37.53,0.3,1.6,37.6,22.9,16645.62,2022,10.39
g. Sankt-Peterburg,29,30.84,3.4,1.6,35.1,29.1,29749.22,2022,10.39
Respublika Adygeya,30,41.73,0.7,0.6,31.6,25.4,16444.44,2022,10.39
Respublika Kalmykiya,31,43.91,0.2,0.6,29.8,25.5,12939.74,2022,10.39
Respublika Krym,32,45.23,2.4,1.3,28.7,22.4,14541.54,2022,10.39
Krasnodarskiy kray,33,34.61,2.5,1.3,31.5,30.1,18714.12,2022,10.39
Astrakhanskaya oblast,34,39.07,1.5,1.5,33,24.9,18713.53,2022,10.39
Volgogradskaya oblast,35,37.75,1.5,1.2,34.6,25,17247.23,2022,10.39
Rostovskaya oblast,36,32.11,3.4,1.4,33.5,29.6,17922.76,2022,10.39
g. Sevastopol,37,47.6,1.8,2.4,28.9,19.2,21333.4,2022,10.39
Respublika Dagestan,38,63.34,0.2,0.3,18.1,18,13883.87,2022,10.39
Respublika Ingushetiya,39,46.48,4.8,0,34.2,14.5,10924.79,2022,10.39
Kabardino-Balkarskaya,40,41.36,0.5,0.3,33.5,24.3,11263.03,2022,10.39
Karachaevo-Cherkesskaya,41,32.02,0.6,0.2,39.3,27.9,13519,2022,10.39
Respublika Severnaya,42,34.99,0.8,0.4,42.9,20.9,15488.5,2022,10.39
Chechenskaya Respublika,43,40.38,0.5,0,38.5,20.6,13250.02,2022,10.39
Stavropolskiy kray,44,36.66,0.5,1.6,31.7,29.5,15662.09,2022,10.39
Respublika Bashkortostan,45,29.66,3.5,1.2,40.7,25,20623.85,2022,10.39
Respublika Mariy El,46,35.4,1.4,1,34.5,27.7,14149.86,2022,10.39
Respublika Mordoviya,47,43.15,1.2,1.4,31.7,22.5,14421.82,2022,10.39
Respublika Tatarstan,48,28.65,4.1,1.6,41.6,24,19976.8,2022,10.39
Udmurtskaya Respublika,49,31.82,3.3,2,37.8,25.1,17605.28,2022,10.39
Chuvashskaya Respublika,50,39.67,2.4,1.6,29.9,26.5,12747.06,2022,10.39
Permskiy kray,51,29.4,1.7,1.6,42.3,25,20335.91,2022,10.39
Kirovskaya oblast,52,32.32,3.9,1.7,35.3,26.8,18057.08,2022,10.39
Nizhegorodskaya oblast,53,33.33,5.4,1.3,36.5,23.5,20933.04,2022,10.39
Orenburgskaya oblast,54,35.47,2,1.1,33.1,28.5,15244.95,2022,10.39
Penzenskaya oblast,55,36.59,0.3,1.8,34.7,26.6,15452.28,2022,10.39
Samarskaya oblast,56,33.19,2.4,1.8,36.2,26.4,18793.72,2022,10.39
Saratovskaya oblast,57,42.16,1.6,1,26.4,28.9,14357.45,2022,10.39
Ulyanovskaya oblast,58,38.26,0.6,1.3,28.4,31.4,15488.21,2022,10.39
Kurganskaya oblast,59,40.34,0.6,1.6,37.2,20.3,15602.18,2022,10.39
Sverdlovskaya oblast,60,34.01,4.5,1.9,35.7,23.9,20742.74,2022,10.39
Tyumenskaya oblast,61,31.85,1.2,1.7,39.7,25.5,26077.62,2022,10.39
   v tom chisle:                     Khanty-Mansiyskiy ,62,27.61,1.5,1.9,40.1,28.9,28794.38,2022,10.39
Yamalo-Nenetskiy ,63,32.51,0.8,1.8,39,25.9,33912.11,2022,10.39
Chelyabinskaya oblast,64,32.4,2.7,2.3,33.2,29.4,18195.42,2022,10.39
Respublika Altay,65,28.83,0.7,1.2,47.7,21.6,14008.17,2022,10.39
Respublika Tyva,67,32.77,2.2,1,38.7,25.4,11892.18,2022,10.39
Respublika Khakasiya,68,34.28,1.8,1.5,36.2,26.2,16596.36,2022,10.39
Altayskiy kray,69,38.77,0.9,1.2,34.2,24.9,13466.64,2022,10.39
Krasnoyarskiy kray,71,31.7,2.5,2.1,33.5,30.2,21680.17,2022,10.39
Irkutskaya oblast,72,34.49,0.9,1.5,37.5,25.7,18769.64,2022,10.39
Kemerovskaya oblast,73,34.45,0.6,1.5,34.5,28.9,15698.18,2022,10.39
Novosibirskaya oblast,74,37.79,0.9,2.1,37.4,21.8,15408.75,2022,10.39
Omskaya oblast,75,39.49,2.4,1.6,30.8,25.7,15734.95,2022,10.39
Tomskaya oblast,76,31.32,2.3,1.6,37.2,27.5,18554.46,2022,10.39
Respublika Buryatiya,66,38.1,1.3,0.9,33.5,26.2,13165.56,2022,10.39
Respublika Sakha (Yakutiya),77,34.02,2.2,1,33.9,28.9,23351.14,2022,10.39
Zabaykalskiy kray,70,39.04,1.2,1.8,33.8,24.2,17937.33,2022,10.39
Kamchatskiy kray,78,32.48,2.2,2.2,32.7,30.4,29300.72,2022,10.39
Primorskiy kray,79,26.29,3.2,1.2,44.5,24.8,28546.04,2022,10.39
Khabarovskiy kray,80,28,1.5,1.6,38.6,30.2,24233.04,2022,10.39
Amurskaya oblast,81,24.79,1,1.1,47.1,26,20439.41,2022,10.39
Magadanskaya oblast,82,32.88,2.4,1.2,30.6,32.9,32713,2022,10.39
Sakhalinskaya oblast,83,34.31,2.3,1.4,33.5,28.5,24983.83,2022,10.39
Evreyskaya avtonomnaya oblast,84,30.24,1,2.7,38.6,27.5,20184.95,2022,10.39
Chukotskiy avtonomnyy okrug,85,41,0.5,3,29.1,26.4,25545.78,2022,10.39
